column,dtype,missing,missing_pct,n_unique
pcos_y_n,int64,0,0.0,2
age_yrs,int64,0,0.0,29
weight_kg,float64,0,0.0,117
height_cm,float64,0,0.0,50
bmi,float64,0,0.0,387
pulse_rate_bpm,int64,0,0.0,11
rr_breaths_min,int64,0,0.0,8
hb_g_dl,float64,0,0.0,46
cycle_r_i,int64,0,0.0,3
cycle_length_days,int64,0,0.0,12
pregnant_y_n,int64,0,0.0,2
no_of_abortions,int64,0,0.0,6
i_beta_hcg_miu_ml,float64,0,0.0,307
ii_beta_hcg_miu_ml,float64,1,0.0018484288354898336,202
fsh_miu_ml,float64,0,0.0,371
lh_miu_ml,float64,0,0.0,342
fsh_lh,float64,0,0.0,512
hip_inch,int64,0,0.0,19
waist_inch,int64,0,0.0,23
waist_hip_ratio,float64,0,0.0,92
tsh_miu_l,float64,0,0.0,308
amh_ng_ml,float64,1,0.0018484288354898336,300
prl_ng_ml,float64,0,0.0,481
vit_d3_ng_ml,float64,0,0.0,330
prg_ng_ml,float64,0,0.0,89
rbs_mg_dl,float64,0,0.0,55
weight_gain_y_n,int64,0,0.0,2
hair_growth_y_n,int64,0,0.0,2
skin_darkening_y_n,int64,0,0.0,2
hair_loss_y_n,int64,0,0.0,2
pimples_y_n,int64,0,0.0,2
fast_food_y_n,float64,1,0.0018484288354898336,2
reg_exercise_y_n,int64,0,0.0,2
bp_systolic_mmhg,int64,0,0.0,6
bp_diastolic_mmhg,int64,0,0.0,5
follicle_no_l,int64,0,0.0,21
follicle_no_r,int64,0,0.0,20
avg_f_size_l_mm,float64,0,0.0,31
avg_f_size_r_mm,float64,0,0.0,32
endometrium_mm,float64,0,0.0,91
cycle_irregular_flag,float64,0,0.0,2
