,,0,1
age_yrs,mean,32.065934065934066,30.124293785310734
age_yrs,median,32.0,29.0
age_yrs,std,5.360918053449988,5.292182021582727
bmi,mean,23.75443947368428,25.48111758852941
bmi,median,23.6185991891192,25.14860539551897
bmi,std,3.7514570819924744,4.393422092752744
cycle_r_i,mean,2.3076923076923075,3.07909604519774
cycle_r_i,median,2.0,4.0
cycle_r_i,std,0.7225956837295126,1.0081842797124299
cycle_irregular_flag,mean,0.15384615384615385,0.536723163841808
cycle_irregular_flag,median,0.0,1.0
cycle_irregular_flag,std,0.3612978418647563,0.5000641972141056
cycle_length_days,mean,5.126373626373627,4.559322033898305
cycle_length_days,median,5.0,5.0
cycle_length_days,std,1.2642431649524397,1.821006088434089
fsh_miu_ml,mean,5.58156043956044,5.174593220338983
fsh_miu_ml,median,5.01,4.48
fsh_miu_ml,std,6.208489996582041,5.744671459230652
lh_miu_ml,mean,2.6126758241758243,4.131141242937853
lh_miu_ml,median,2.3049999999999997,2.22
lh_miu_ml,std,2.103597279532192,15.042956705387555
fsh_lh,mean,4.0460149668593965,3.678532011116424
fsh_lh,median,2.363636363636364,2.03601108033241
fsh_lh,std,5.646543537827867,6.327031245976716
amh_ng_ml,mean,4.541495867768595,7.844632768361582
amh_ng_ml,median,3.2,5.9
amh_ng_ml,std,4.290578634476858,7.791138323124322
rbs_mg_dl,mean,99.2032967032967,101.13672316384181
rbs_mg_dl,median,96.0,100.0
rbs_mg_dl,std,15.504283247514632,23.63278867516426
follicle_no_l,mean,4.351648351648351,9.785310734463277
follicle_no_l,median,4.0,10.0
follicle_no_l,std,2.814263655040145,4.3089770247109
follicle_no_r,mean,4.637362637362638,10.76271186440678
follicle_no_r,median,4.0,11.0
follicle_no_r,std,2.9261487905034715,4.165629043887477
endometrium_mm,mean,8.315027472527472,8.806779661016948
endometrium_mm,median,8.3,8.9
endometrium_mm,std,2.2586062523379167,1.9238660538666246
